Word,Count
beats,4
beat,4
spite,4
seek,4
steel,4
veins,4
torture,4
quiet,4
streets,4
pay,4
depart,4
along,4
fray,4
golden,4
window,4
east,4
walk,4
city,4
towards,4
sought,4
mornings,4
dew,4
daylight,4
uncle,4
secret,4
sadness,4
anything,4
coz,4
rather,4
griefs,4
tut,4
forsworn,4
vow,4
hers,4
note,4
woo,4
shut,4
signior,4
supper,4
whom,4
thither,4
match,4
lamb,4
awhile,4
bitter,4
brow,4
yea,4
left,4
grace,4
stands,4
wisdom,4
count,4
lover,4
fly,4
guests,4
after,4
believe,4
mask,4
save,4
empty,4
kisses,4
oft,4
foul,4
course,4
deny,4
worn,4
dares,4
truth,4
town,4
youll,4
lest,4
sake,4
door,4
birth,4
garden,4
ran,4
conjure,4
cry,4
fine,4
anger,4
raise,4
spirit,4
nature,4
tree,4
moon,4
green,4
wear,4
bold,4
hateful,4
lent,4
lightning,4
gave,4
wouldst,4
adieu,4
ghostly,4
dry,4
womb,4
keeps,4
met,4
slow,4
broad,4
hair,4
gentlewoman,4
fault,4
ifaith,4
something,4
hoar,4
minute,4
knave,4
hark,4
knife,4
warm,4
sour,4
beshrew,4
amen,4
work,4
houses,4
beg,4
loss,4
slaughterd,4
damned,4
weeping,4
banishd,4
knocking,4
search,4
weeps,4
coming,4
doubt,4
nightly,4
hope,4
bridegroom,4
needs,4
buried,4
iron,4
sell,4
strew,4
intents,4
alike,3
bury,3
strife,3
patient,3
attend,3
toil,3
public,3
slave,3
goes,3
thrust,3
between,3
masters,3
sense,3
pass,3
fools,3
drawn,3
citizen,3
attendants,3
pain,3
airy,3
cast,3
afternoon,3
yours,3
approach,3
blows,3
today,3
abroad,3
affections,3
humour,3
learn,3
grow,3
cure,3
please,3
wert,3
fast,3
view,3
proof,3
laugh,3
oppression,3
lost,3
urgd,3
woman,3
lovd,3
strong,3
bow,3
sworn,3
waste,3
making,3
ruld,3
teach,3
liberty,3
beauties,3
precious,3
hard,3
suit,3
delight,3
paper,3
anothers,3
backward,3
food,3
cup,3
compare,3
crow,3
year,3
forbid,3
susan,3
dug,3
brain,3
taste,3
twas,3
jule,3
wretch,3
choose,3
lends,3
content,3
cursed,3
date,3
cupid,3
burden,3
visor,3
blush,3
mouse,3
burn,3
delay,3
vain,3
meaning,3
dreamt,3
mab,3
over,3
knees,3
sometime,3
wakes,3
substance,3
wind,3
closd,3
fellows,3
solemnity,3
chance,3
contrary,3
withdraw,3
seeming,3
touch,3
saints,3
prayers,3
craves,3
passion,3
appear,3
likeness,3
pronounce,3
hid,3
wound,3
arise,3
knew,3
business,3
gaze,3
hundred,3
walls,3
washd,3
dwell,3
mayst,3
fond,3
confess,3
cease,3
faithful,3
purpose,3
fortunes,3
worse,3
toward,3
almost,3
morn,3
turns,3
lo,3
confession,3
truly,3
jesu,3
pure,3
devil,3
fathers,3
wench,3
third,3
immortal,3
flies,3
courtesy,3
courteous,3
faint,3
whole,3
wide,3
goodden,3
bawd,3
spent,3
sings,3
meat,3
dinner,3
occasion,3
afore,3
told,3
protest,3
devise,3
sayst,3
sweetest,3
toad,3
rosemary,3
thoughts,3
youthful,3
shed,3
swift,3
honey,3
bad,3
got,3
heavens,3
powder,3
loathsome,3
thanks,3
lain,3
apt,3
buy,3
consort,3
discords,3
afford,3
knowst,3
calm,3
plague,3
scratch,3
mortal,3
fury,3
conduct,3
wretched,3
murderer,3
charge,3
deadly,3
cries,3
tot,3
modesty,3
bare,3
fiend,3
born,3
beast,3
murderd,3
beguild,3
tidings,3
philosophy,3
deaths,3
wild,3
hollow,3
rouse,3
stayd,3
wednesday,3
nightingale,3
methinks,3
fickle,3
unaccustomd,3
cousins,3
needy,3
peters,3
wed,3
bark,3
joints,3
bridal,3
remedy,3
hearst,3
presently,3
present,3
shroud,3
meantime,3
waking,3
speed,3
hire,3
lick,3
knows,3
logs,3
cruel,3
aloof,3
retires,3
mattock,3
further,3
apprehend,3
greater,2
prologue,2
households,2
mutiny,2
foes,2
pair,2
parents,2
miss,2
mend,2
carry,2
choler,2
neck,2
valiant,2
tyrant,2
able,2
piece,2
fish,2
weapon,2
frown,2
yes,2
blow,2
manage,2
four,2
clubs,2
partisans,2
crutch,2
blade,2
enemies,2
quench,2
weapons,2
sentence,2
brawls,2
veronas,2
ornaments,2
cankerd,2
disturb,2
forfeit,2
farther,2
common,2
began,2
drew,2
breathd,2
winds,2
glad,2
underneath,2
ware,2
wood,2
weary,2
self,2
pursud,2
gladly,2
fled,2
fresh,2
farthest,2
private,2
shuts,2
windows,2
locks,2
neither,2
counsellor,2
sounding,2
bud,2
worm,2
spread,2
leaves,2
whence,2
sorrows,2
struck,2
favour,2
heard,2
vanity,2
misshapen,2
smoke,2
shown,2
purgd,2
vexd,2
gall,2
wrong,2
groan,2
supposd,2
shell,2
cupids,2
armd,2
siege,2
ope,2
store,2
merit,2
bliss,2
despair,2
giving,2
examine,2
question,2
brows,2
eyesight,2
passing,2
debt,2
reckoning,2
pity,2
summers,2
pride,2
younger,2
mothers,2
choice,2
guest,2
number,2
lusty,2
heel,2
trudge,2
persons,2
tailor,2
sent,2
person,2
learned,2
burning,2
turning,2
infection,2
excellent,2
madman,2
prison,2
misery,2
beauteous,2
lovely,2
whither,2
often,2
burnt,2
fairer,2
rejoice,2
maidenhead,2
twelve,2
bade,2
knowest,2
odd,2
lammas,2
eve,2
souls,2
eleven,2
wormwood,2
sitting,2
dovehouse,2
felt,2
shake,2
trow,2
broke,2
crying,2
stinted,2
big,2
knock,2
bitterly,2
prettiest,2
eer,2
nursd,2
disposition,2
suckd,2
wax,2
summer,2
volume,2
beautys,2
cover,2
share,2
story,2
bigger,2
served,2
called,2
asked,2
stays,2
maskers,2
bearing,2
entrance,2
dancing,2
shoes,2
soar,2
dull,2
sink,2
prick,2
putting,2
legs,2
wantons,2
rushes,2
grandsire,2
lights,2
judgment,2
sits,2
fairies,2
beams,2
whip,2
bone,2
waggoner,2
