,Word,romeoandjuliet,greatgatsby,mobydick,querybook
152,loves,14.0,3.0,0.0,7.0
153,poison,14.0,0.0,4.0,6.0
154,letter,14.0,7.0,10.0,1.0
155,same,14.0,16.0,206.0,12.0
156,faith,14.0,2.0,15.0,17.0
157,fall,14.0,6.0,18.0,9.0
158,soul,14.0,2.0,78.0,34.0
159,gentleman,14.0,4.0,18.0,19.0
160,use,14.0,8.0,35.0,16.0
161,joy,14.0,2.0,15.0,8.0
162,breath,14.0,9.0,14.0,9.0
163,haste,14.0,1.0,0.0,13.0
164,thursday,14.0,0.0,0.0,0.0
165,musician,14.0,0.0,0.0,0.0
166,new,13.0,70.0,82.0,3.0
167,hands,13.0,38.0,125.0,12.0
168,place,13.0,20.0,108.0,9.0
169,ho,13.0,0.0,15.0,13.0
170,came,13.0,108.0,126.0,9.0
171,soon,13.0,6.0,128.0,0.0
172,without,13.0,27.0,150.0,20.0
173,thine,13.0,0.0,17.0,14.0
174,else,13.0,7.0,46.0,17.0
175,leave,13.0,12.0,18.0,28.0
176,wit,13.0,1.0,1.0,5.0
177,daughter,13.0,2.0,1.0,14.0
178,husband,13.0,14.0,2.0,8.0
179,woe,13.0,0.0,31.0,8.0
180,little,13.0,103.0,247.0,18.0
181,sin,13.0,0.0,8.0,2.0
182,sound,13.0,30.0,41.0,7.0
183,send,13.0,2.0,13.0,4.0
184,friend,13.0,17.0,25.0,13.0
185,makes,12.0,1.0,38.0,18.0
186,forth,12.0,3.0,50.0,7.0
187,ever,12.0,28.0,188.0,13.0
188,turn,12.0,10.0,60.0,7.0
189,bear,12.0,2.0,36.0,14.0
190,better,12.0,18.0,62.0,14.0
191,talk,12.0,12.0,25.0,2.0
192,hate,12.0,4.0,8.0,1.0
193,happy,12.0,4.0,7.0,3.0
194,gentle,12.0,0.0,7.0,5.0
195,sleep,12.0,9.0,45.0,12.0
196,grief,12.0,2.0,8.0,14.0
197,shes,12.0,26.0,2.0,2.0
198,years,12.0,38.0,93.0,3.0
199,get,12.0,74.0,95.0,9.0
200,ye,12.0,0.0,416.0,4.0
201,best,12.0,7.0,64.0,11.0
202,days,12.0,18.0,82.0,6.0
203,late,12.0,13.0,28.0,10.0
204,hither,12.0,0.0,13.0,8.0
205,shame,12.0,2.0,6.0,8.0
206,verona,11.0,0.0,0.0,0.0
207,lay,11.0,13.0,74.0,9.0
208,draw,11.0,2.0,12.0,9.0
209,quarrel,11.0,0.0,1.0,2.0
210,law,11.0,0.0,19.0,7.0
211,shalt,11.0,0.0,3.0,5.0
212,about,11.0,149.0,305.0,18.0
213,beauty,11.0,7.0,8.0,6.0
214,hes,11.0,27.0,94.0,10.0
215,mistress,11.0,3.0,1.0,3.0
216,oer,11.0,0.0,0.0,14.0
217,though,11.0,34.0,362.0,24.0
218,mad,11.0,4.0,31.0,21.0
219,since,11.0,12.0,62.0,18.0
220,warrant,11.0,0.0,2.0,5.0
221,marriage,11.0,2.0,2.0,6.0
222,pale,11.0,14.0,15.0,8.0
223,alack,11.0,0.0,0.0,3.0
224,full,11.0,21.0,111.0,11.0
225,bring,11.0,4.0,17.0,12.0
226,page,11.0,1.0,6.0,0.0
227,tybalts,11.0,0.0,0.0,0.0
228,play,10.0,12.0,23.0,36.0
229,once,10.0,36.0,145.0,19.0
230,ears,10.0,1.0,26.0,10.0
231,maid,10.0,2.0,2.0,6.0
232,off,10.0,45.0,203.0,21.0
233,saw,10.0,52.0,98.0,12.0
234,heavy,10.0,1.0,34.0,6.0
235,chamber,10.0,1.0,2.0,4.0
236,black,10.0,11.0,87.0,8.0
237,heres,10.0,4.0,22.0,8.0
238,rich,10.0,8.0,8.0,3.0
239,kiss,10.0,3.0,2.0,0.0
240,comfort,10.0,0.0,6.0,1.0
241,desperate,10.0,1.0,11.0,6.0
242,master,10.0,0.0,19.0,0.0
243,neer,10.0,0.0,3.0,3.0
244,calls,10.0,0.0,12.0,4.0
245,need,10.0,3.0,13.0,4.0
246,done,10.0,8.0,74.0,21.0
247,dream,10.0,6.0,10.0,5.0
248,flower,10.0,2.0,1.0,0.0
249,every,10.0,27.0,223.0,7.0
250,another,10.0,36.0,110.0,15.0
251,straight,10.0,4.0,43.0,4.0
252,above,10.0,7.0,54.0,4.0
253,because,10.0,45.0,90.0,1.0
254,gentlemen,10.0,1.0,36.0,12.0
255,boy,10.0,12.0,30.0,3.0
256,twenty,10.0,4.0,24.0,3.0
257,kinsman,10.0,0.0,0.0,0.0
258,kill,10.0,1.0,24.0,4.0
259,says,10.0,7.0,43.0,8.0
260,answer,10.0,9.0,24.0,14.0
261,pardon,10.0,6.0,5.0,6.0
262,tongue,10.0,2.0,10.0,15.0
263,church,10.0,9.0,13.0,2.0
264,monument,10.0,0.0,1.0,1.0
265,ancient,9.0,0.0,27.0,1.0
266,end,9.0,20.0,96.0,17.0
267,move,9.0,9.0,8.0,6.0
268,wall,9.0,10.0,24.0,1.0
269,john,9.0,1.0,11.0,0.0
270,foot,9.0,8.0,29.0,3.0
271,ground,9.0,5.0,39.0,10.0
272,case,9.0,5.0,69.0,1.0
273,either,9.0,11.0,34.0,6.0
274,himself,9.0,29.0,199.0,21.0
275,means,9.0,2.0,44.0,20.0
276,weep,9.0,0.0,3.0,4.0
277,hearts,9.0,0.0,24.0,3.0
278,only,9.0,51.0,369.0,6.0
279,forget,9.0,10.0,11.0,4.0
280,unto,9.0,0.0,2.0,8.0
281,way,9.0,73.0,253.0,11.0
282,hide,9.0,1.0,5.0,5.0
283,rosaline,9.0,0.0,0.0,0.0
284,indeed,9.0,0.0,88.0,31.0
285,great,9.0,25.0,290.0,26.0
286,thus,9.0,1.0,132.0,40.0
287,others,9.0,4.0,51.0,6.0
288,music,9.0,5.0,4.0,8.0
289,whats,9.0,15.0,48.0,12.0
290,silver,9.0,11.0,10.0,0.0
291,body,9.0,19.0,105.0,17.0
292,vault,9.0,0.0,2.0,0.0
293,act,8.0,5.0,29.0,19.0
294,lovers,8.0,0.0,3.0,0.0
295,bite,8.0,1.0,5.0,0.0
296,sword,8.0,0.0,14.0,16.0
297,mind,8.0,11.0,77.0,12.0
298,into,8.0,168.0,517.0,32.0
299,clouds,8.0,3.0,11.0,4.0
300,counsel,8.0,0.0,4.0,3.0
301,noble,8.0,0.0,42.0,17.0
302,having,8.0,11.0,64.0,2.0
303,alas,8.0,0.0,10.0,11.0
304,bound,8.0,4.0,20.0,5.0
305,welcome,8.0,3.0,6.0,16.0
306,through,8.0,66.0,222.0,9.0
307,last,8.0,45.0,273.0,14.0
308,merry,8.0,0.0,7.0,2.0
309,ladys,8.0,0.0,0.0,1.0
