,Word,romeoandjuliet,greatgatsby,mobydick,querybook
6059,machine,0.0,1.0,1.0,1.0
6060,extract,0.0,1.0,1.0,0.0
6061,juice,0.0,1.0,0.0,1.0
6062,corps,0.0,1.0,0.0,0.0
6063,buffet,0.0,1.0,0.0,0.0
6064,horsdoeuvre,0.0,1.0,0.0,0.0
6065,spiced,0.0,1.0,2.0,0.0
6066,baked,0.0,1.0,1.0,0.0
6067,salads,0.0,1.0,0.0,0.0
6068,harlequin,0.0,1.0,0.0,0.0
6069,pigs,0.0,1.0,0.0,0.0
6070,turkeys,0.0,1.0,1.0,0.0
6071,rail,0.0,1.0,9.0,0.0
6072,stocked,0.0,1.0,0.0,0.0
6073,gins,0.0,1.0,0.0,1.0
6074,liquors,0.0,1.0,0.0,0.0
6075,cordials,0.0,1.0,0.0,0.0
6076,fivepiece,0.0,1.0,0.0,0.0
6077,pitful,0.0,1.0,0.0,0.0
6078,oboes,0.0,1.0,0.0,0.0
6079,trombones,0.0,1.0,0.0,0.0
6080,viols,0.0,1.0,0.0,0.0
6081,cornets,0.0,1.0,0.0,0.0
6082,piccolos,0.0,1.0,0.0,0.0
6083,swimmers,0.0,1.0,0.0,0.0
6084,dressing,0.0,1.0,1.0,0.0
6085,parked,0.0,1.0,0.0,0.0
6086,gaudy,0.0,1.0,0.0,1.0
6087,primary,0.0,1.0,2.0,0.0
6088,bobbed,0.0,1.0,1.0,0.0
6089,shawls,0.0,1.0,0.0,0.0
6090,castile,0.0,1.0,0.0,0.0
6091,rounds,0.0,1.0,3.0,0.0
6092,permeate,0.0,1.0,0.0,0.0
6093,introductions,0.0,1.0,0.0,0.0
6094,enthusiastic,0.0,1.0,0.0,0.0
6095,meetings,0.0,1.0,3.0,0.0
6096,brighter,0.0,1.0,3.0,0.0
6097,lurches,0.0,1.0,1.0,0.0
6098,opera,0.0,1.0,0.0,0.0
6099,pitches,0.0,1.0,2.0,0.0
6100,prodigality,0.0,1.0,0.0,0.0
6101,swiftly,0.0,1.0,19.0,0.0
6102,dissolve,0.0,1.0,1.0,0.0
6103,wanderers,0.0,1.0,0.0,0.0
6104,weave,0.0,1.0,2.0,0.0
6105,stouter,0.0,1.0,0.0,0.0
6106,joyous,0.0,1.0,3.0,0.0
6107,glide,0.0,1.0,2.0,0.0
6108,seachange,0.0,1.0,0.0,0.0
6109,constantly,0.0,1.0,4.0,1.0
6110,gypsies,0.0,1.0,0.0,0.0
6111,opal,0.0,1.0,1.0,0.0
6112,seizes,0.0,1.0,0.0,0.0
6113,frisco,0.0,1.0,0.0,0.0
6114,varies,0.0,1.0,0.0,0.0
6115,obligingly,0.0,1.0,0.0,0.0
6116,erroneous,0.0,1.0,1.0,0.0
6117,gilda,0.0,1.0,0.0,0.0
6118,grays,0.0,1.0,0.0,0.0
6119,understudy,0.0,1.0,0.0,0.0
6120,follies,0.0,1.0,0.0,0.0
6121,invitedthey,0.0,1.0,0.0,0.0
6122,conducted,0.0,1.0,2.0,0.0
6123,amusement,0.0,1.0,0.0,0.0
6124,robinsegg,0.0,1.0,0.0,0.0
6125,employer,0.0,1.0,0.0,0.0
6126,combination,0.0,1.0,1.0,1.0
6127,itsigned,0.0,1.0,0.0,0.0
6128,majestic,0.0,1.0,7.0,0.0
6129,flannels,0.0,1.0,0.0,0.0
6130,swirls,0.0,1.0,0.0,0.0
6131,eddies,0.0,1.0,3.0,0.0
6132,knowthough,0.0,1.0,0.0,0.0
6133,englishmen,0.0,1.0,2.0,0.0
6134,dotted,0.0,1.0,5.0,0.0
6135,earnest,0.0,1.0,10.0,1.0
6136,insurance,0.0,1.0,4.0,0.0
6137,agonizingly,0.0,1.0,2.0,0.0
6138,whereabouts,0.0,1.0,0.0,0.0
6139,vehemently,0.0,1.0,3.0,0.0
6140,knowledge,0.0,1.0,11.0,1.0
6141,slunk,0.0,1.0,1.0,0.0
6142,tablethe,0.0,1.0,0.0,0.0
6143,linger,0.0,1.0,0.0,0.0
6144,passersby,0.0,1.0,0.0,0.0
6145,advancing,0.0,1.0,19.0,1.0
6146,unnaturally,0.0,1.0,1.0,0.0
6147,responded,0.0,1.0,3.0,0.0
6148,impersonally,0.0,1.0,0.0,0.0
6149,twin,0.0,1.0,3.0,0.0
6150,win,0.0,1.0,0.0,3.0
6151,finals,0.0,1.0,0.0,0.0
6152,dyed,0.0,1.0,0.0,0.0
6153,premature,0.0,1.0,2.0,0.0
6154,mumble,0.0,1.0,0.0,0.0
6155,companion,0.0,1.0,1.0,0.0
6156,tore,0.0,1.0,13.0,0.0
6157,addressinside,0.0,1.0,0.0,0.0
6158,package,0.0,1.0,0.0,0.0
6159,croiriers,0.0,1.0,0.0,0.0
6160,bust,0.0,1.0,1.0,0.0
6161,altered,0.0,1.0,3.0,0.0
6162,sixtyfive,0.0,1.0,3.0,0.0
6163,confidentially,0.0,1.0,1.0,0.0
6164,thrill,0.0,1.0,1.0,0.0
6165,mumbles,0.0,1.0,0.0,0.0
6166,listened,0.0,1.0,1.0,0.0
6167,argued,0.0,1.0,4.0,0.0
6168,sceptically,0.0,1.0,0.0,0.0
6169,germany,0.0,1.0,0.0,0.0
6170,positively,0.0,1.0,1.0,1.0
6171,credulity,0.0,1.0,0.0,0.0
6172,switched,0.0,1.0,0.0,0.0
6173,bet,0.0,1.0,1.0,1.0
6174,speculation,0.0,1.0,0.0,0.0
6175,inspired,0.0,1.0,0.0,0.0
6176,supperthere,0.0,1.0,0.0,0.0
6177,midnightwas,0.0,1.0,0.0,0.0
6178,escort,0.0,1.0,0.0,0.0
6179,yield,0.0,1.0,15.0,2.0
6180,rambling,0.0,1.0,0.0,0.0
6181,preserved,0.0,1.0,4.0,0.0
6182,homogeneity,0.0,1.0,0.0,0.0
6183,function,0.0,1.0,1.0,1.0
6184,representing,0.0,1.0,7.0,0.0
6185,staid,0.0,1.0,2.0,0.0
6186,nobility,0.0,1.0,0.0,1.0
6187,countrysideeast,0.0,1.0,0.0,0.0
6188,condescending,0.0,1.0,1.0,0.0
6189,carefully,0.0,1.0,11.0,1.0
6190,guard,0.0,1.0,5.0,3.0
6191,spectroscopic,0.0,1.0,0.0,0.0
6192,wasteful,0.0,1.0,0.0,0.0
6193,inappropriate,0.0,1.0,0.0,0.0
6194,importantlooking,0.0,1.0,0.0,0.0
6195,gothic,0.0,1.0,3.0,0.0
6196,panelled,0.0,1.0,2.0,0.0
6197,carved,0.0,1.0,13.0,0.0
6198,english,0.0,1.0,45.0,1.0
6199,oak,0.0,1.0,4.0,0.0
6200,transported,0.0,1.0,5.0,0.0
6201,ruin,0.0,1.0,4.0,1.0
6202,middleaged,0.0,1.0,0.0,0.0
6203,somewhat,0.0,1.0,26.0,0.0
6204,unsteady,0.0,1.0,0.0,0.0
6205,impetuously,0.0,1.0,3.0,0.0
6206,bookshelves,0.0,1.0,0.0,0.0
6207,neednt,0.0,1.0,0.0,0.0
6208,ascertain,0.0,1.0,0.0,0.0
6209,ascertained,0.0,1.0,1.0,0.0
6210,realhave,0.0,1.0,0.0,0.0
6211,durable,0.0,1.0,1.0,0.0
6212,andhere,0.0,1.0,0.0,0.0
6213,lemme,0.0,1.0,0.0,0.0
6214,bookcases,0.0,1.0,0.0,0.0
6215,stoddard,0.0,1.0,0.0,0.0
6216,lectures,0.0,1.0,1.0,0.0
6217,fooled,0.0,1.0,0.0,0.0
6218,belasco,0.0,1.0,0.0,0.0
6219,thoroughness,0.0,1.0,0.0,0.0
6220,realism,0.0,1.0,0.0,0.0
6221,toodidnt,0.0,1.0,0.0,0.0
6222,snatched,0.0,1.0,5.0,0.0
6223,cheerfully,0.0,1.0,2.0,2.0
6224,claud,0.0,1.0,0.0,0.0
6225,graceless,0.0,1.0,0.0,0.0
6226,tortuously,0.0,1.0,0.0,0.0
6227,cornersand,0.0,1.0,0.0,0.0
6228,individually,0.0,1.0,1.0,0.0
6229,relieving,0.0,1.0,1.0,0.0
6230,banjo,0.0,1.0,0.0,0.0
6231,traps,0.0,1.0,2.0,0.0
6232,notorious,0.0,1.0,3.0,0.0
6233,vacuous,0.0,1.0,0.0,0.0
6234,twins,0.0,1.0,1.0,0.0
6235,risen,0.0,1.0,3.0,0.0
6236,triangle,0.0,1.0,0.0,0.0
6237,tinny,0.0,1.0,0.0,0.0
6238,drip,0.0,1.0,0.0,0.0
6239,banjoes,0.0,1.0,0.0,0.0
6240,rowdy,0.0,1.0,0.0,0.0
6241,slightest,0.0,1.0,20.0,0.0
6242,provocation,0.0,1.0,1.0,0.0
6243,uncontrollable,0.0,1.0,0.0,0.0
6244,enjoying,0.0,1.0,2.0,0.0
6245,significant,0.0,1.0,11.0,0.0
6246,elemental,0.0,1.0,1.0,0.0
6247,lull,0.0,1.0,1.0,0.0
6248,entertainment,0.0,1.0,1.0,4.0
6249,twentyeighth,0.0,1.0,0.0,0.0
6250,sixteenth,0.0,1.0,1.0,0.0
6251,nineteeneighteen,0.0,1.0,0.0,0.0
6252,understandinglymuch,0.0,1.0,0.0,0.0
6253,understandingly,0.0,1.0,0.0,0.0
6254,reassurance,0.0,1.0,0.0,0.0
6255,facedor,0.0,1.0,0.0,0.0
6256,prejudice,0.0,1.0,0.0,0.0
6257,vanishedand,0.0,1.0,0.0,0.0
6258,roughneck,0.0,1.0,0.0,0.0
6259,rejoin,0.0,1.0,0.0,0.0
6260,jordanconstrained,0.0,1.0,0.0,0.0
6261,corpulent,0.0,1.0,0.0,0.0
6262,background,0.0,1.0,3.0,0.0
6263,stimulating,0.0,1.0,0.0,0.0
6264,louisiana,0.0,1.0,1.0,0.0
6265,comprehensible,0.0,1.0,2.0,0.0
6266,didntat,0.0,1.0,0.0,0.0
6267,inexperience,0.0,1.0,1.0,0.0
6268,didntdrift,0.0,1.0,0.0,0.0
6269,urban,0.0,1.0,0.0,0.0
6270,distaste,0.0,1.0,0.0,0.0
6271,concrete,0.0,1.0,3.0,0.0
6272,privacy,0.0,1.0,0.0,0.0
6273,bass,0.0,1.0,0.0,0.0
6274,echolalia,0.0,1.0,0.0,0.0
6275,carnegie,0.0,1.0,0.0,0.0
6276,jovial,0.0,1.0,1.0,0.0
6277,condescension,0.0,1.0,2.0,0.0
6278,concluded,0.0,1.0,19.0,1.0
6279,lustily,0.0,1.0,1.0,0.0
6280,composition,0.0,1.0,0.0,0.0
6281,approving,0.0,1.0,1.0,0.0
6282,attractively,0.0,1.0,0.0,0.0
6283,trimmed,0.0,1.0,1.0,0.0
6284,fraternal,0.0,1.0,0.0,0.0
6285,puppyish,0.0,1.0,0.0,0.0
6286,convivial,0.0,1.0,3.0,0.0
6287,swooning,0.0,1.0,0.0,0.0
6288,playfully,0.0,1.0,1.0,0.0
6289,arrest,0.0,1.0,0.0,0.0
6290,fallsbut,0.0,1.0,0.0,0.0
6291,swooned,0.0,1.0,0.0,0.0
6292,quartets,0.0,1.0,0.0,0.0
6293,link,0.0,1.0,2.0,0.0
6294,wore,0.0,1.0,11.0,1.0
6295,clothesthere,0.0,1.0,0.0,0.0
6296,jauntiness,0.0,1.0,0.0,0.0
6297,courses,0.0,1.0,6.0,1.0
6298,intriguing,0.0,1.0,0.0,0.0
6299,manywindowed,0.0,1.0,0.0,0.0
6300,overhung,0.0,1.0,1.0,0.0
6301,terrace,0.0,1.0,0.0,0.0
6302,eluding,0.0,1.0,1.0,0.0
6303,obstetrical,0.0,1.0,0.0,0.0
6304,implored,0.0,1.0,0.0,0.0
6305,redhaired,0.0,1.0,1.0,0.0
6306,quantity,0.0,1.0,10.0,4.0
6307,ineptly,0.0,1.0,0.0,0.0
6308,sadshe,0.0,1.0,0.0,0.0
6309,sobs,0.0,1.0,0.0,0.0
6310,lyric,0.0,1.0,0.0,0.0
6311,quavering,0.0,1.0,0.0,0.0
6312,soprano,0.0,1.0,0.0,0.0
6313,coursed,0.0,1.0,0.0,0.0
6314,cheeksnot,0.0,1.0,0.0,0.0
6315,freely,0.0,1.0,12.0,4.0
6316,beaded,0.0,1.0,0.0,0.0
6317,eyelashes,0.0,1.0,1.0,0.0
6318,inky,0.0,1.0,0.0,1.0
6319,rivulets,0.0,1.0,0.0,0.0
6320,vinous,0.0,1.0,0.0,0.0
6321,remaining,0.0,1.0,10.0,0.0
6322,husbands,0.0,1.0,1.0,2.0
6323,quartet,0.0,1.0,0.0,0.0
6324,dissension,0.0,1.0,0.0,0.0
6325,actress,0.0,1.0,0.0,0.0
6326,resorted,0.0,1.0,0.0,0.0
6327,flank,0.0,1.0,13.0,0.0
6328,attacksat,0.0,1.0,0.0,0.0
6329,intervals,0.0,1.0,31.0,0.0
6330,diamond,0.0,1.0,3.0,0.0
6331,hissed,0.0,1.0,4.0,0.0
6332,confined,0.0,1.0,3.0,0.0
6333,occupied,0.0,1.0,9.0,0.0
6334,deplorably,0.0,1.0,1.0,0.0
6335,highly,0.0,1.0,6.0,0.0
6336,indignant,0.0,1.0,2.0,0.0
6337,sympathizing,0.0,1.0,0.0,0.0
6338,selfish,0.0,1.0,0.0,0.0
6339,sheepishly,0.0,1.0,1.0,0.0
6340,malevolence,0.0,1.0,0.0,0.0
6341,credibility,0.0,1.0,0.0,0.0
6342,kicking,0.0,1.0,5.0,0.0
6343,tightened,0.0,1.0,1.0,0.0
6344,abstractedly,0.0,1.0,0.0,0.0
6345,tantalizing,0.0,1.0,3.0,0.0
6346,gracefully,0.0,1.0,0.0,0.0
6347,sigourney,0.0,1.0,0.0,0.0
6348,howard,0.0,1.0,0.0,0.0
6349,talkedher,0.0,1.0,0.0,0.0
6350,salute,0.0,1.0,1.0,0.0
6351,ashamed,0.0,1.0,0.0,1.0
6352,explain,0.0,1.0,7.0,0.0
6353,apologize,0.0,1.0,0.0,0.0
6354,enjoined,0.0,1.0,1.0,0.0
6355,familiarity,0.0,1.0,1.0,0.0
6356,reassuringly,0.0,1.0,0.0,0.0
6357,philadelphia,0.0,1.0,0.0,0.0
6358,smiledand,0.0,1.0,0.0,0.0
6359,illuminated,0.0,1.0,3.0,0.0
6360,shorn,0.0,1.0,0.0,0.0
6361,accounted,0.0,1.0,9.0,1.0
6362,detachment,0.0,1.0,0.0,0.0
6363,considerable,0.0,1.0,26.0,0.0
6364,chauffeurs,0.0,1.0,0.0,0.0
6365,blocking,0.0,1.0,0.0,0.0
6366,discordant,0.0,1.0,0.0,0.0
6367,dismounted,0.0,1.0,0.0,0.0
6368,observers,0.0,1.0,0.0,1.0
6369,puzzled,0.0,1.0,3.0,0.0
6370,astonishing,0.0,1.0,2.0,0.0
6371,manit,0.0,1.0,0.0,0.0
6372,shrugged,0.0,1.0,0.0,0.0
6373,mechanics,0.0,1.0,0.0,0.0
6374,owl,0.0,1.0,0.0,1.0
6375,drivingnext,0.0,1.0,0.0,0.0
6376,bystanders,0.0,1.0,1.0,0.0
6377,commit,0.0,1.0,0.0,0.0
6378,suicide,0.0,1.0,1.0,0.0
6379,lucky,0.0,1.0,7.0,0.0
6380,criminal,0.0,1.0,1.0,0.0
6381,declaration,0.0,1.0,0.0,0.0
6382,sustained,0.0,1.0,3.0,0.0
6383,crowdit,0.0,1.0,0.0,0.0
6384,crowdstepped,0.0,1.0,0.0,0.0
6385,dangling,0.0,1.0,2.0,0.0
6386,individual,0.0,1.0,12.0,0.0
6387,pawing,0.0,1.0,0.0,0.0
6388,blinded,0.0,1.0,2.0,0.0
6389,apparition,0.0,1.0,9.0,2.0
6390,whas,0.0,1.0,0.0,0.0
6391,outa,0.0,1.0,1.0,0.0
6392,amputated,0.0,1.0,1.0,0.0
6393,wheelhe,0.0,1.0,0.0,0.0
6394,upward,0.0,1.0,5.0,0.0
6395,straightening,0.0,1.0,0.0,0.0
6396,wonderff,0.0,1.0,0.0,0.0
6397,gasline,0.0,1.0,0.0,0.0
6398,caterwauling,0.0,1.0,0.0,0.0
6399,crescendo,0.0,1.0,0.0,0.0
6400,wafer,0.0,1.0,1.0,0.0
6401,surviving,0.0,1.0,2.0,0.0
6402,emptiness,0.0,1.0,0.0,0.0
6403,endowing,0.0,1.0,0.0,0.0
6404,isolation,0.0,1.0,3.0,0.0
6405,chasms,0.0,1.0,0.0,0.0
6406,probity,0.0,1.0,0.0,0.0
6407,bondsalesmen,0.0,1.0,0.0,0.0
6408,lunched,0.0,1.0,0.0,0.0
6409,restaurants,0.0,1.0,0.0,0.0
6410,pig,0.0,1.0,1.0,0.0
6411,sausages,0.0,1.0,0.0,0.0
6412,mashed,0.0,1.0,0.0,0.0
6413,potatoes,0.0,1.0,1.0,0.0
6414,department,0.0,1.0,2.0,0.0
6415,vacation,0.0,1.0,1.0,0.0
6416,quietly,0.0,1.0,19.0,1.0
6417,clubfor,0.0,1.0,0.0,0.0
6418,gloomiest,0.0,1.0,1.0,0.0
6419,event,0.0,1.0,10.0,1.0
6420,dayand,0.0,1.0,0.0,0.0
6421,studied,0.0,1.0,2.0,0.0
6422,investments,0.0,1.0,0.0,1.0
6423,rioters,0.0,1.0,0.0,0.0
6424,mellow,0.0,1.0,0.0,1.0
6425,madison,0.0,1.0,0.0,0.0
6426,murray,0.0,1.0,0.0,0.0
6427,33rd,0.0,1.0,0.0,0.0
6428,adventurous,0.0,1.0,4.0,1.0
6429,disapprove,0.0,1.0,0.0,0.0
6430,hidden,0.0,1.0,23.0,0.0
6431,metropolitan,0.0,1.0,3.0,0.0
6432,haunting,0.0,1.0,1.0,0.0
6433,otherspoor,0.0,1.0,0.0,0.0
6434,loitered,0.0,1.0,0.0,0.0
6435,dinneryoung,0.0,1.0,0.0,0.0
6436,poignant,0.0,1.0,0.0,0.0
6437,lanes,0.0,1.0,1.0,0.0
6438,forties,0.0,1.0,0.0,0.0
6439,throbbing,0.0,1.0,3.0,0.0
6440,theatre,0.0,1.0,0.0,1.0
6441,district,0.0,1.0,3.0,0.0
6442,sinking,0.0,1.0,13.0,0.0
6443,taxis,0.0,1.0,0.0,0.0
6444,unheard,0.0,1.0,0.0,0.0
6445,jokes,0.0,1.0,1.0,0.0
6446,unintelligible,0.0,1.0,0.0,0.0
6447,imagining,0.0,1.0,1.0,0.0
6448,sharing,0.0,1.0,3.0,0.0
6449,wished,0.0,1.0,1.0,0.0
6450,champion,0.0,1.0,0.0,0.0
6451,somethingmost,0.0,1.0,0.0,0.0
6452,affectations,0.0,1.0,0.0,0.0
6453,eventually,0.0,1.0,8.0,0.0
6454,beginningand,0.0,1.0,0.0,0.0
6455,warwick,0.0,1.0,0.0,0.0
6456,newspapersa,0.0,1.0,0.0,0.0
6457,semifinal,0.0,1.0,0.0,0.0
6458,proportions,0.0,1.0,3.0,1.0
6459,scandalthen,0.0,1.0,0.0,0.0
6460,caddy,0.0,1.0,0.0,0.0
6461,retracted,0.0,1.0,0.0,0.0
6462,mistaken,0.0,1.0,7.0,0.0
6463,clever,0.0,1.0,1.0,0.0
6464,shrewd,0.0,1.0,0.0,0.0
6465,safer,0.0,1.0,0.0,0.0
6466,plane,0.0,1.0,7.0,0.0
6467,divergence,0.0,1.0,0.0,0.0
6468,code,0.0,1.0,2.0,0.0
6469,incurably,0.0,1.0,0.0,0.0
6470,dishonest,0.0,1.0,0.0,0.0
6471,disadvantage,0.0,1.0,1.0,0.0
6472,unwillingness,0.0,1.0,1.0,0.0
6473,subterfuges,0.0,1.0,0.0,0.0
6474,insolent,0.0,1.0,1.0,0.0
6475,satisfy,0.0,1.0,3.0,0.0
6476,demands,0.0,1.0,1.0,2.0
6477,dishonesty,0.0,1.0,0.0,0.0
6478,deeplyi,0.0,1.0,0.0,0.0
6479,flicked,0.0,1.0,0.0,0.0
6480,protested,0.0,1.0,1.0,0.0
6481,takes,0.0,1.0,25.0,10.0
6482,relations,0.0,1.0,1.0,0.0
6483,slowthinking,0.0,1.0,0.0,0.0
6484,desires,0.0,1.0,4.0,4.0
6485,tangle,0.0,1.0,1.0,0.0
6486,signing,0.0,1.0,3.0,0.0
6487,moustache,0.0,1.0,2.0,0.0
6488,tactfully,0.0,1.0,0.0,0.0
6489,suspects,0.0,1.0,3.0,0.0
6490,cardinal,0.0,1.0,0.0,0.0
6491,twinkled,0.0,1.0,0.0,0.0
6492,von,0.0,1.0,1.0,0.0
6493,hindenburg,0.0,1.0,0.0,0.0
6494,pour,0.0,1.0,5.0,1.0
6495,spaces,0.0,1.0,5.0,0.0
6496,disintegrating,0.0,1.0,0.0,0.0
6497,headed,0.0,1.0,9.0,0.0
6498,5th,0.0,1.0,1.0,0.0
6499,1922,0.0,1.0,0.0,0.0
6500,generalities,0.0,1.0,0.0,0.0
6501,subtle,0.0,1.0,11.0,0.0
6502,beckers,0.0,1.0,0.0,0.0
6503,leeches,0.0,1.0,0.0,0.0
6504,bunsen,0.0,1.0,0.0,0.0
6505,webster,0.0,1.0,0.0,0.0
6506,maine,0.0,1.0,0.0,0.0
6507,hornbeams,0.0,1.0,0.0,0.0
6508,willie,0.0,1.0,0.0,0.0
6509,voltaires,0.0,1.0,0.0,0.0
6510,blackbuck,0.0,1.0,0.0,0.0
6511,goats,0.0,1.0,1.0,0.0
6512,whosoever,0.0,1.0,4.0,0.0
6513,ismays,0.0,1.0,0.0,0.0
6514,hubert,0.0,1.0,0.0,0.0
6515,auerbach,0.0,1.0,0.0,0.0
6516,beaver,0.0,1.0,4.0,1.0
6517,cottonwhite,0.0,1.0,0.0,0.0
6518,clarence,0.0,1.0,0.0,0.0
6519,endive,0.0,1.0,0.0,0.0
6520,knickerbockers,0.0,1.0,0.0,0.0
6521,bum,0.0,1.0,0.0,0.0
6522,etty,0.0,1.0,0.0,0.0
6523,cheadles,0.0,1.0,0.0,0.0
6524,schraeders,0.0,1.0,0.0,0.0
6525,stonewall,0.0,1.0,0.0,0.0
6526,jackson,0.0,1.0,1.0,0.0
6527,abrams,0.0,1.0,0.0,0.0
6528,georgia,0.0,1.0,0.0,0.0
6529,fishguards,0.0,1.0,0.0,0.0
6530,ripley,0.0,1.0,0.0,0.0
6531,snells,0.0,1.0,0.0,0.0
6532,snell,0.0,1.0,0.0,0.0
6533,penitentiary,0.0,1.0,0.0,0.0
6534,ulysses,0.0,1.0,0.0,0.0
6535,swetts,0.0,1.0,0.0,0.0
6536,dancies,0.0,1.0,0.0,0.0
6537,whitebait,0.0,1.0,0.0,0.0
6538,maurice,0.0,1.0,0.0,0.0
6539,flink,0.0,1.0,0.0,0.0
6540,hammerheads,0.0,1.0,0.0,0.0
6541,beluga,0.0,1.0,0.0,0.0
6542,tobacco,0.0,1.0,5.0,0.0
6543,importer,0.0,1.0,0.0,0.0
6544,belugas,0.0,1.0,0.0,0.0
6545,poles,0.0,1.0,10.0,0.0
6546,mulreadys,0.0,1.0,0.0,0.0
6547,roebuck,0.0,1.0,0.0,0.0
6548,schoen,0.0,1.0,0.0,0.0
6549,gulick,0.0,1.0,0.0,0.0
6550,senator,0.0,1.0,0.0,0.0
6551,newton,0.0,1.0,0.0,0.0
6552,controlled,0.0,1.0,0.0,0.0
6553,films,0.0,1.0,0.0,0.0
6554,par,0.0,1.0,0.0,0.0
6555,eckhaust,0.0,1.0,0.0,0.0
6556,clyde,0.0,1.0,0.0,0.0
6557,cohen,0.0,1.0,0.0,0.0
6558,don,0.0,1.0,19.0,0.0
6559,schwartz,0.0,1.0,0.0,0.0
6560,arthur,0.0,1.0,0.0,0.0
6561,mccarty,0.0,1.0,0.0,0.0
6562,catlips,0.0,1.0,0.0,0.0
6563,bembergs,0.0,1.0,0.0,0.0
6564,da,0.0,1.0,0.0,0.0
6565,fontano,0.0,1.0,0.0,0.0
6566,promoter,0.0,1.0,0.0,0.0
6567,ed,0.0,1.0,0.0,0.0
6568,legros,0.0,1.0,0.0,0.0
6569,rotgut,0.0,1.0,0.0,0.0
6570,jongs,0.0,1.0,0.0,0.0
6571,ernest,0.0,1.0,0.0,0.0
6572,lillythey,0.0,1.0,0.0,0.0
6573,gamble,0.0,1.0,0.0,0.0
6574,cleaned,0.0,1.0,0.0,0.0
6575,traction,0.0,1.0,0.0,0.0
6576,fluctuate,0.0,1.0,0.0,0.0
6577,profitably,0.0,1.0,1.0,0.0
6578,boarderi,0.0,1.0,0.0,0.0
6579,theatrical,0.0,1.0,0.0,0.0
6580,gus,0.0,1.0,0.0,0.0
6581,waize,0.0,1.0,0.0,0.0
6582,horace,0.0,1.0,0.0,0.0
6583,odonavan,0.0,1.0,0.0,0.0
6584,lester,0.0,1.0,0.0,0.0
6585,myer,0.0,1.0,0.0,0.0
6586,duckweed,0.0,1.0,0.0,0.0
6587,bull,0.0,1.0,8.0,0.0
6588,chromes,0.0,1.0,0.0,0.0
6589,backhyssons,0.0,1.0,0.0,0.0
6590,dennickers,0.0,1.0,0.0,0.0
6591,russel,0.0,1.0,0.0,0.0
6592,betty,0.0,1.0,1.0,0.0
6593,corrigans,0.0,1.0,0.0,0.0
6594,kellehers,0.0,1.0,0.0,0.0
6595,dewars,0.0,1.0,0.0,0.0
6596,scullys,0.0,1.0,0.0,0.0
6597,w,0.0,1.0,0.0,0.0
6598,belcher,0.0,1.0,0.0,0.0
6599,smirkes,0.0,1.0,0.0,0.0
6600,quinns,0.0,1.0,0.0,0.0
6601,l,0.0,1.0,1.0,0.0
6602,palmetto,0.0,1.0,0.0,0.0
6603,benny,0.0,1.0,0.0,0.0
6604,mcclenahan,0.0,1.0,0.0,0.0
6605,inevitably,0.0,1.0,4.0,0.0
6606,namesjaqueline,0.0,1.0,0.0,0.0
6607,consuela,0.0,1.0,0.0,0.0
6608,gloria,0.0,1.0,0.0,0.0
6609,judy,0.0,1.0,0.0,0.0
6610,melodious,0.0,1.0,1.0,1.0
6611,sterner,0.0,1.0,0.0,0.0
6612,capitalists,0.0,1.0,0.0,0.0
6613,addition,0.0,1.0,2.0,3.0
6614,faustina,0.0,1.0,0.0,0.0
6615,obrien,0.0,1.0,0.0,0.0
6616,albrucksburger,0.0,1.0,0.0,0.0
6617,haag,0.0,1.0,0.0,0.0
6618,fiance,0.0,1.0,0.0,0.0
6619,ardita,0.0,1.0,0.0,0.0
6620,fitzpeters,0.0,1.0,0.0,0.0
6621,jewett,0.0,1.0,0.0,0.0
6622,claudia,0.0,1.0,0.0,0.0
6623,hip,0.0,1.0,3.0,0.0
6624,reputed,0.0,1.0,1.0,0.0
6625,duke,0.0,1.0,8.0,0.0
6626,lurched,0.0,1.0,0.0,0.0
6627,rocky,0.0,1.0,5.0,0.0
6628,threenoted,0.0,1.0,0.0,0.0
6629,horn,0.0,1.0,28.0,0.0
6630,urgent,0.0,1.0,1.0,0.0
6631,frequent,0.0,1.0,3.0,0.0
6632,dashboard,0.0,1.0,0.0,0.0
6633,resourcefulness,0.0,1.0,0.0,0.0
6634,americanthat,0.0,1.0,0.0,0.0
6635,lifting,0.0,1.0,9.0,0.0
6636,formless,0.0,1.0,2.0,0.0
6637,sporadic,0.0,1.0,0.0,0.0
6638,games,0.0,1.0,0.0,0.0
6639,punctilious,0.0,1.0,2.0,0.0
6640,restlessness,0.0,1.0,1.0,0.0
6641,tapping,0.0,1.0,3.0,0.0
6642,nickel,0.0,1.0,0.0,0.0
6643,monstrous,0.0,1.0,9.0,1.0
6644,hatboxes,0.0,1.0,0.0,0.0
6645,supperboxes,0.0,1.0,0.0,0.0
6646,toolboxes,0.0,1.0,0.0,0.0
6647,terraced,0.0,1.0,0.0,0.0
6648,labyrinth,0.0,1.0,3.0,0.0
6649,windshields,0.0,1.0,0.0,0.0
6650,layers,0.0,1.0,3.0,0.0
6651,conservatory,0.0,1.0,0.0,0.0
6652,undefined,0.0,1.0,0.0,0.0
6653,disconcerting,0.0,1.0,0.0,0.0
6654,sentences,0.0,1.0,2.0,0.0
6655,unfinished,0.0,1.0,1.0,0.0
6656,indecisively,0.0,1.0,0.0,0.0
6657,caramelcoloured,0.0,1.0,0.0,0.0
6658,overwhelmed,0.0,1.0,2.0,0.0
